AoA,M0.6_CN-ALPHA,M1.0_CN-ALPHA,M1.5_CN-ALPHA,M2.3_CN-ALPHA,M4.63_CN-ALPHA
15.8,1.4791833029072625,1.5667741549971153,1.8134806574942341,2.584971341241071,2.9374244371749643
15.900000000000002,1.4963183802084608,1.5843436112866176,1.8383008156868763,2.622688824759294,2.966268661427882
16.0,1.5135565551310795,1.6020518825047656,1.8635151454780365,2.6608101957819708,2.9952439521973453
16.1,1.5308997713525672,1.6198992638112766,1.8891348559347674,2.69932714733207,3.024345529706192
16.200000000000003,1.548349972550371,1.6378860503658677,1.9151711561241171,2.7382313724325535,3.0535686141772582
16.3,1.565909102401939,1.6560125373282546,1.9416352551131353,2.7775145641063843,3.0829084258333785
16.400000000000002,1.5835791045847192,1.6742790198581556,1.9685383619688726,2.8171684153765297,3.112360184897392
16.5,1.6013619227761586,1.6926857931152868,1.995891685758378,2.8571846192659516,3.141919111592131
16.6,1.619259500653707,1.7112331522593658,2.0237064355487027,2.897554868797615,3.1715804261404363
16.700000000000003,1.6372737818948102,1.7299213924501093,2.0519938204068953,2.9382708569944858,3.201339348765141
16.8,1.6554067101769165,1.7487508088472337,2.0807650494000045,2.9793242768795243,3.231191099689082
16.900000000000002,1.6736602291774747,1.7677216966104563,2.1100313315950836,3.0207068214756982,3.2611308991350962
17.0,1.6920362825739312,1.7868343508994937,2.1398038760591787,3.0624101838059694,3.291153967326018
17.1,1.7105368140437356,1.806089066874064,2.1700938918593433,3.104426056893305,3.321255524484686
17.200000000000003,1.7291637672643343,1.8254861396938828,2.2009125880626246,3.146746133760667,3.3514307908339354
17.3,1.747919085913175,1.8450258645186668,2.232271173736071,3.189362107431019,3.381674986596601
17.400000000000002,1.7668047136677067,1.8647085365081344,2.2641808579467364,3.2322656709273274,3.411983331995522
17.5,1.7858225942053765,1.884534450822001,2.2966528497616676,3.275448517272554,3.4423510472535317
17.6,1.8049746712036325,1.904503902619985,2.3296983582479163,3.3189023394896666,3.4727733525934683
17.700000000000003,1.8242628883399223,1.9246171870618023,2.363328592472531,3.362618830601626,3.503245468238168
17.8,1.8436891892916938,1.9448745993071694,2.3975547615025614,3.406589683631397,3.5337626144104646
17.900000000000002,1.8632555177363952,1.9652764345158047,2.4323880744050586,3.450806591601946,3.564320011333197
18.0,1.8829638173514731,1.9858229878474236,2.4678397402470704,3.495261247536234,3.5949128792291996
18.1,1.9028160318143774,2.006514554461744,2.503920968095649,3.5399453444572284,3.6255364383213107
18.200000000000003,1.9228141048025544,2.027351429518483,2.540642967017843,3.5848505753878923,3.6561859088323647
18.3,1.9429599799934516,2.0483339081773564,2.5780169460807016,3.6299686333511882,3.6868565109851987
18.400000000000002,1.9632556010645188,2.0694622855980818,2.6160541143512765,3.675291211370083,3.717543465002649
18.5,1.983702911693201,2.0907368569403757,2.654765680896615,3.720810002467538,3.74824199110755
18.6,2.004303855556949,2.112157917363956,2.6941628547837695,3.766516699666521,3.77894730952274
