AoA,M1.5_CA-ALPHA,M1.0_CA-ALPHA,M4.63_CA-ALPHA,M3.96_CA-ALPHA,M0.95_CA-ALPHA,M2.96_CA-ALPHA,M0.6_CA-ALPHA,M2.3_CA-ALPHA,M0.8_CA-ALPHA,M1.2_CA-ALPHA,M1.8_CA-ALPHA,M0.9_CA-ALPHA
3.6000000000000014,0.3755682126870759,0.4096828681307376,0.18098351903691542,0.20303116010096167,0.30285852747286796,0.26170776083133046,0.21794001345529487,0.3146270116965772,0.2239513455099679,0.4834395089148223,0.3632445684624759,0.2547675268267266
3.700000000000001,0.3762597036785975,0.4113584806299195,0.18140228675175857,0.20357659173112902,0.3042174482292563,0.2621360226245018,0.21907086819710478,0.31499265998627646,0.22524432615558748,0.4844682416843047,0.3638888750281479,0.25598456466494657
3.8000000000000007,0.37694195370017286,0.41299054512157696,0.1817924019725661,0.20413046583559785,0.30556386157113613,0.2625667117680381,0.22020091985821894,0.3153846150953979,0.22651172174577122,0.48549678189124806,0.36453057759089036,0.25720305060675946
3.9000000000000004,0.3776111514463529,0.41456651655056975,0.18215185331683892,0.20469247773197363,0.3068914714967492,0.2629994973368809,0.2213274377965099,0.3158064837657058,0.22774819011049952,0.4865226283498587,0.36516868470226044,0.2584201817787053
4.0,0.3782634856116883,0.4160738498617576,0.18248199157321848,0.20526232273786174,0.30819398200433695,0.2634340937040032,0.2224476913698504,0.3162618727389647,0.22894838907975276,0.4875439871154832,0.3658022049138152,0.2596331553073242
4.100000000000001,0.3788951498505064,0.4175,0.18278520025867054,0.2058396961708676,0.309465097092141,0.263870215242378,0.22355895069136214,0.31675438285535873,0.2301069764835114,0.4885604674600522,0.366430146777112,0.2608391683191565
4.200000000000001,0.37950387749034925,0.4188355016480576,0.18306386316778522,0.20642423253610534,0.31069864840760636,0.26430757632497837,0.2246588922814329,0.31728578291562226,0.23121910073978882,0.4895718440925788,0.3670515739717538,0.2620354260143832
4.300000000000001,0.38009111498521947,0.42008320844029495,0.18332036409515282,0.20701472698658271,0.31189258416266724,0.26474589132477716,0.22574626854406088,0.317853423514024,0.23228480716264358,0.490577891722076,0.3676663110710465,0.2632198753865162
4.4,0.3806588573006783,0.42124905374897736,0.18355708683536354,0.20760936283824663,0.31304975658812056,0.2651848746147473,0.22682000789034276,0.3184540025772376,0.23330695540492175,0.49157838505755685,0.3682747372939119,0.2643917923220844
4.5,0.38120909940228703,0.42233897094637046,0.18377641518300755,0.20820630952819882,0.31417330456896214,0.26562424056786194,0.22787903873137538,0.31908421803193676,0.2342884387068731,0.49257309880803446,0.36887724444079284,0.2655505908649044
4.600000000000001,0.38174383625560704,0.42335889340473964,0.18398073293267506,0.208803736493541,0.3152663669901875,0.26606370355709397,0.22892228947825552,0.3197407678047953,0.23523215030874753,0.4935618076825219,0.369474224312132,0.2666956850587931
4.700000000000001,0.3822650628261995,0.42431475449635037,0.18417242387895627,0.20939981317137482,0.31633208273679214,0.26650297795541633,0.22994868854207984,0.3204203498224869,0.2361409834507948,0.49454428639003223,0.37006606870837216,0.2678264889475674
4.800000000000001,0.38277477407962585,0.425212487593468,0.18435387181644136,0.20999270899880196,0.3173735906937717,0.26694177813580205,0.23095716433394514,0.32111966201168546,0.23701783137326482,0.4955203096395785,0.37065316942995613,0.26894241657504403
4.9,0.3832749649814472,0.4260580260683581,0.18452746053972066,0.21058059341292407,0.31839402974612174,0.2673798184712241,0.23194664526494824,0.3218354022990646,0.23786558731640736,0.4964896521401736,0.37123591827732666,0.2700428819850398
5.0,0.38376763049722507,0.426857303293286,0.18469557384338425,0.2111616358508429,0.319396538778838,0.2678168133346555,0.23291605974618584,0.32256426861129794,0.2386871445204723,0.4974520886008308,0.3718147070509265,0.27112729922137163
5.100000000000001,0.3842547655925206,0.4276162526405172,0.1848605955220224,0.21173400574966014,0.3203842566769159,0.2682524770990692,0.2338643361887548,0.3233029588750595,0.23948539622570947,0.4984073937305631,0.3723899275511984,0.2721950823278563
5.200000000000001,0.3847383652328951,0.4283408074823173,0.18502490937022525,0.21229587254647742,0.32136032232535106,0.2686865241374381,0.2347904030037517,0.3240481710170227,0.2402632356723687,0.4993553422383835,0.37296197157858507,0.2732456453483106
5.300000000000001,0.38522042438390997,0.4290369011909516,0.1851908991825831,0.21284540567839644,0.32232787460913914,0.2691186688227353,0.23569318860227345,0.3247966029638616,0.24102355610069987,0.5002957088333051,0.37353123093352925,0.27427840232655143
5.4,0.3857029380111265,0.42971046713868555,0.18536094875368608,0.21338077458251892,0.3232900524132757,0.2695486255279337,0.23657162139541676,0.3255449526422497,0.24176925075095276,0.501228268224341,0.3740980974164739,0.27529276730639546
5.5,0.3861879010801058,0.4303674386977846,0.18553744187812443,0.2139001486959465,0.3242499946227563,0.26997610862600635,0.2374246297942784,0.32628991797886087,0.24250321286337723,0.5021527951205043,0.3746629628278615,0.2762881543316597
5.600000000000001,0.38667730855640936,0.43101374924051433,0.1857227623504884,0.21440169745578092,0.32521084012257656,0.2704008324899262,0.2382511422099551,0.3270281969003689,0.2432283356782231,0.5030690642308078,0.375226218968135,0.2772639774461609
5.700000000000001,0.38717315540559843,0.4316553321391401,0.1859192939653681,0.2148835902991238,0.3261757277977321,0.2708225114926661,0.23905008705354372,0.32775648733344737,0.24394751243574025,0.5039768502642649,0.3757882576377371,0.2782196506937159
